transformation,points,cpu_time,gpu_time,img_width,img_height,block_size,cpu_points,gpu_points
fern,10000,0.0299946030008868,0.1480204810013674,300,300,8,12360,10000
fern,50000,0.1779099080013111,0.3977266479996615,300,300,8,66531,50000
fern,100000,0.4047106660000281,0.9310335600002873,300,300,8,131061,100000
fern,150000,0.5512156729982962,1.6258410709997406,300,300,8,196501,150000
fern,2000000,7.516797762998976,356.5844681950002,300,300,8,2329274,2000000
fern,300000,0.9629578670010231,11.60010827500082,300,300,8,323474,300000
dragon,10000,0.0249585040000965,0.1451095189986517,300,300,8,13304,10000
dragon,50000,0.1192607869998028,0.3683483160002652,300,300,8,59449,50000
dragon,100000,0.3013286200002767,0.8749674310001865,300,300,8,139808,100000
dragon,150000,0.5049447969995526,1.5997096020000754,300,300,8,222818,150000
dragon,2000000,6.724872884999058,356.8782935749987,300,300,8,2686581,2000000
dragon,300000,0.8472649280010955,11.4914086639983,300,300,8,364080,300000
pentadentrite,10000,0.0230713900000409,0.1486440329990728,300,300,8,17520,10000
pentadentrite,50000,0.0875021159990865,0.379486960999202,300,300,8,61864,50000
pentadentrite,100000,0.1542313360005209,0.9271113430004334,300,300,8,114611,100000
pentadentrite,150000,0.2687982320003357,1.6483026200003223,300,300,8,186230,150000
pentadentrite,2000000,3.77435530099865,357.9105933430001,300,300,8,2382117,2000000
pentadentrite,300000,0.5139679450003314,11.52714458599985,300,300,8,343392,300000
koch,10000,0.0222969919996103,0.1450242029986839,300,300,8,16184,10000
koch,50000,0.1160602899999503,0.374529992999669,300,300,8,80972,50000
koch,100000,0.2263146959994628,0.8864468449992273,300,300,8,148617,100000
koch,150000,0.2646558899996307,1.6200670809994335,300,300,8,179543,150000
koch,2000000,3.494452987000841,359.7612108580015,300,300,8,2133812,2000000
koch,300000,0.4855075510004099,11.619996186998833,300,300,8,312817,300000
spiral,10000,0.0335211580004397,0.144456189000266,300,300,8,11724,10000
spiral,50000,0.2111951040005806,0.3800632059992495,300,300,8,64894,50000
spiral,100000,0.404110864001268,0.9082457820004493,300,300,8,119998,100000
spiral,150000,0.6416482189997623,1.606962867999755,300,300,8,190180,150000
spiral,2000000,8.733091994999995,361.3226432279989,300,300,8,2246893,2000000
spiral,300000,1.2757266009994055,11.624981364999256,300,300,8,355407,300000
tree,10000,0.0238869199984037,0.1484212519990251,300,300,8,17010,10000
tree,50000,0.0751306890015257,0.3757793650001986,300,300,8,54963,50000
tree,100000,0.2203394769985607,0.8889954650003347,300,300,8,145291,100000
tree,150000,0.2638884050011256,1.65497155400044,300,300,8,181241,150000
tree,2000000,4.843777928999771,357.1737871969999,300,300,8,3024199,2000000
tree,300000,0.7299038569999539,11.485536547001177,300,300,8,497616,300000
twig,10000,0.0209088820010947,0.1405295789991214,300,300,8,14390,10000
twig,50000,0.1179584530000283,0.3693452560000878,300,300,8,75808,50000
twig,100000,0.2666893109999364,0.8804250279990811,300,300,8,165769,100000
twig,150000,0.3235016379985609,1.6109688229989845,300,300,8,202030,150000
twig,2000000,5.882197280001492,360.6855181709998,300,300,8,3258759,2000000
twig,300000,0.715164523000567,11.642164726999908,300,300,8,408845,300000
