transformation,iterations,image_size,cpu_time_sec,gpu_time_sec,block_size
set1,50,300,0.5004062119987793,0.2511914299975615,8
set1,100,300,0.4651252010080497,0.2645840519980993,8
set1,150,300,0.468901170999743,0.2872493590111844,8
set1,200,300,0.4559441290039103,0.3141489989939146,8
set1,250,300,0.4539660089940298,0.2989751999848522,8
set1,300,300,0.464528701006202,0.2389241440105252,8
set2,50,300,0.6939611370034982,0.2544364570057951,8
set2,100,300,0.8353721880121157,0.2644049779919442,8
set2,150,300,0.8290633719880134,0.2902889079996384,8
set2,200,300,0.8490830700029619,0.2753081690170802,8
set2,250,300,0.8546678959974088,0.2613199379993602,8
set2,300,300,0.8328095890174154,0.2569327240053098,8
set3,50,300,0.7764639770030044,0.2538800669717602,8
set3,100,300,0.993538932991214,0.2744357219780795,8
set3,150,300,1.1231345879496075,0.2868143139639869,8
set3,200,300,1.108512945997063,0.2559336689882912,8
set3,250,300,1.186814277956728,0.2968207799713127,8
set3,300,300,1.1339611149742268,0.2797438289853744,8
set4,50,300,0.7201869370182976,0.30459695198806,8
set4,100,300,0.9702948220074176,0.3041395379696041,8
set4,150,300,1.1185888510080986,0.3036847879993729,8
set4,200,300,1.2845648609800264,0.2785402849549427,8
set4,250,300,1.3279849929967895,0.2770421580062248,8
set4,300,300,1.4305530450074002,0.2971591670066118,8
set5,50,300,0.8289621949661523,0.28769123199163,8
set5,100,300,1.2392356910277158,0.2691464870003983,8
set5,150,300,1.580361933039967,0.284859421022702,8
set5,200,300,1.9519354490330445,0.2737047959817573,8
set5,250,300,2.00267374701798,0.3155381199903786,8
set5,300,300,2.168666919984389,0.3151328239473514,8
set6,50,300,0.6819074520026334,0.2958298699813895,8
set6,100,300,0.7666557999909855,0.2535507709835656,8
set6,150,300,0.7460662089870311,0.254174998961389,8
set6,200,300,0.7592689470038749,0.2941868639900349,8
set6,250,300,0.7356769230100326,0.2709649430471472,8
set6,300,300,0.7425543980207294,0.3032343410304747,8
set8,50,300,0.3428407239844091,0.1000915979966521,8
set8,100,300,0.3417118649813346,0.2415493740118108,8
set8,150,300,0.3387364560039714,0.3040630460018292,8
set8,200,300,0.3497473690076731,0.2572597379912622,8
set8,250,300,0.3535822789999656,0.2716307509690523,8
set8,300,300,0.3782757339649834,0.2537179889623076,8
set9,50,300,0.788499339018017,0.2537955440348014,8
set9,100,300,0.9863121330272406,0.2833169059595093,8
set9,150,300,1.08951265696669,0.2876855030190199,8
set9,200,300,1.2070700660115108,0.2907636440359056,8
set9,250,300,1.2192453470197506,0.2801726769539527,8
set9,300,300,1.2233713769819587,0.2675952399731613,8
set10,50,300,0.3600893929833546,0.2870983639732003,8
set10,100,300,0.363374306994956,0.2835225349990651,8
set10,150,300,0.375779987021815,0.2695085739833303,8
set10,200,300,0.3805483489995822,0.2433714990038424,8
set10,250,300,0.36220954998862,0.2639570729807019,8
set10,300,300,0.3752677890006453,0.2553583579719998,8
set11,50,300,0.5510252949898131,0.3220119850011542,8
set11,100,300,0.5596219600411132,0.271578348998446,8
set11,150,300,0.5555725649464875,0.321264550962951,8
set11,200,300,0.5510817799950019,0.2940601109876297,8
set11,250,300,0.5548790970351547,0.315691566967871,8
set11,300,300,0.5662232539616525,0.254363120009657,8
set12,50,300,0.3769711930071935,0.2999108569929376,8
set12,100,300,0.3641891769948415,0.2389700239873491,8
set12,150,300,0.3902856310014613,0.2735647739609703,8
set12,200,300,0.4025808370206505,0.2708131909603253,8
set12,250,300,0.4331482310080901,0.2517216500127688,8
set12,300,300,0.436245284974575,0.2527692000148818,8
set13,50,300,0.701191920961719,0.2522227169829421,8
set13,100,300,1.0353753149975091,0.2522625959827564,8
set13,150,300,1.3693969589658082,0.2909043880063109,8
set13,200,300,1.7636401730123907,0.2556557219941169,8
set13,250,300,2.064136305998545,0.2678934160503559,8
set13,300,300,2.441017448029015,0.2390298010432161,8
set14,50,300,0.8282925399835221,0.3020217760349624,8
set14,100,300,0.9651364299934356,0.2757532040122896,8
set14,150,300,1.0228488949942405,0.3007917099748738,8
set14,200,300,1.0730782729806378,0.2682917400379665,8
set14,250,300,1.0459080369910223,0.2715725219459273,8
set14,300,300,1.0594621959608048,0.2878045220277272,8
